"Kod";"Nazwa";"Wyszczególnienie";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
012415100000;"PODREGION TYSKI";"ogółem";"2004";2199,05;"zł";"";
012415100000;"PODREGION TYSKI";"ogółem";"2005";2248,45;"zł";"";
012415100000;"PODREGION TYSKI";"ogółem";"2006";2389,91;"zł";"";
012415100000;"PODREGION TYSKI";"ogółem";"2007";2627,59;"zł";"";
012415100000;"PODREGION TYSKI";"ogółem";"2008";2860,29;"zł";"";
012415100000;"PODREGION TYSKI";"ogółem";"2009";2933,25;"zł";"";
012415100000;"PODREGION TYSKI";"ogółem";"2010";3083,62;"zł";"";
012415100000;"PODREGION TYSKI";"ogółem";"2011";3237,93;"zł";"";
012415100000;"PODREGION TYSKI";"ogółem";"2012";3355,99;"zł";"";
012415100000;"PODREGION TYSKI";"ogółem";"2013";3476,82;"zł";"";
012415100000;"PODREGION TYSKI";"ogółem";"2014";3593,28;"zł";"";
012415100000;"PODREGION TYSKI";"ogółem";"2015";3764,99;"zł";"";
012415100000;"PODREGION TYSKI";"ogółem";"2016";3876,92;"zł";"";
012415100000;"PODREGION TYSKI";"ogółem";"2017";4087,29;"zł";"";
012415100000;"PODREGION TYSKI";"ogółem";"2018";4376,27;"zł";"";
012415100000;"PODREGION TYSKI";"ogółem";"2019";4713,14;"zł";"";
012415100000;"PODREGION TYSKI";"ogółem";"2020";5019,87;"zł";"";
012415100000;"PODREGION TYSKI";"ogółem";"2021";5397,89;"zł";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2002";1955,10;"zł";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2003";1989,89;"zł";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2004";2076,56;"zł";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2005";2127,57;"zł";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2006";2220,85;"zł";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2007";2402,43;"zł";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2008";2647,31;"zł";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2009";2796,87;"zł";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2010";2928,72;"zł";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2011";3065,04;"zł";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2012";3172,58;"zł";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2013";3284,14;"zł";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2014";3415,80;"zł";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2015";3536,99;"zł";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2016";3663,19;"zł";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2017";3868,02;"zł";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2018";4183,95;"zł";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2019";4427,66;"zł";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2020";4700,89;"zł";"";
020811300000;"PODREGION GORZOWSKI";"ogółem";"2021";5120,21;"zł";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2002";1924,29;"zł";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2003";1990,30;"zł";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2004";2061,62;"zł";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2005";2155,59;"zł";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2006";2244,42;"zł";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2007";2448,11;"zł";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2008";2657,56;"zł";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2009";2806,61;"zł";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2010";2915,10;"zł";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2011";3079,78;"zł";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2012";3223,32;"zł";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2013";3280,67;"zł";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2014";3431,80;"zł";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2015";3588,73;"zł";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2016";3783,43;"zł";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2017";4005,71;"zł";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2018";4276,99;"zł";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2019";4648,88;"zł";"";
