"Kod";"Nazwa";"Ogółem";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2009";107;"osoba";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2010";106;"osoba";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2011";106;"osoba";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2012";106;"osoba";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2013";106;"osoba";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2014";106;"osoba";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2015";106;"osoba";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2016";106;"osoba";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2017";106;"osoba";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2018";106;"osoba";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2019";106;"osoba";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2020";106;"osoba";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"ogółem";"2021";106;"osoba";"";
023015700000;"PODREGION KALISKI";"ogółem";"2002";106;"osoba";"";
023015700000;"PODREGION KALISKI";"ogółem";"2003";106;"osoba";"";
023015700000;"PODREGION KALISKI";"ogółem";"2004";106;"osoba";"";
023015700000;"PODREGION KALISKI";"ogółem";"2005";106;"osoba";"";
023015700000;"PODREGION KALISKI";"ogółem";"2006";106;"osoba";"";
023015700000;"PODREGION KALISKI";"ogółem";"2007";106;"osoba";"";
023015700000;"PODREGION KALISKI";"ogółem";"2008";106;"osoba";"";
023015700000;"PODREGION KALISKI";"ogółem";"2009";105;"osoba";"";
023015700000;"PODREGION KALISKI";"ogółem";"2010";105;"osoba";"";
023015700000;"PODREGION KALISKI";"ogółem";"2011";105;"osoba";"";
023015700000;"PODREGION KALISKI";"ogółem";"2012";105;"osoba";"";
023015700000;"PODREGION KALISKI";"ogółem";"2013";105;"osoba";"";
023015700000;"PODREGION KALISKI";"ogółem";"2014";105;"osoba";"";
023015700000;"PODREGION KALISKI";"ogółem";"2015";105;"osoba";"";
023015700000;"PODREGION KALISKI";"ogółem";"2016";105;"osoba";"";
