"Kod";"Nazwa";"Transakcje rynkowe";"Powierzchnia użytkowa lokali mieszkalnych";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
023016000000;"PODREGION PILSKI";"ogółem";"ogółem";"2016";2692;"zł";"";
023016000000;"PODREGION PILSKI";"ogółem";"ogółem";"2017";2817;"zł";"";
023016000000;"PODREGION PILSKI";"ogółem";"ogółem";"2018";3106;"zł";"";
023016000000;"PODREGION PILSKI";"ogółem";"ogółem";"2019";3440;"zł";"";
023016000000;"PODREGION PILSKI";"ogółem";"ogółem";"2020";3884;"zł";"";
023016000000;"PODREGION PILSKI";"ogółem";"ogółem";"2021";4131;"zł";"";
023016100000;"PODREGION POZNAŃSKI";"ogółem";"ogółem";"2010";3697;"zł";"";
023016100000;"PODREGION POZNAŃSKI";"ogółem";"ogółem";"2011";3697;"zł";"";
023016100000;"PODREGION POZNAŃSKI";"ogółem";"ogółem";"2012";3740;"zł";"";
023016100000;"PODREGION POZNAŃSKI";"ogółem";"ogółem";"2013";3554;"zł";"";
023016100000;"PODREGION POZNAŃSKI";"ogółem";"ogółem";"2014";3579;"zł";"";
023016100000;"PODREGION POZNAŃSKI";"ogółem";"ogółem";"2015";3686;"zł";"";
023016100000;"PODREGION POZNAŃSKI";"ogółem";"ogółem";"2016";3707;"zł";"";
023016100000;"PODREGION POZNAŃSKI";"ogółem";"ogółem";"2017";3728;"zł";"";
023016100000;"PODREGION POZNAŃSKI";"ogółem";"ogółem";"2018";4027;"zł";"";
023016100000;"PODREGION POZNAŃSKI";"ogółem";"ogółem";"2019";4259;"zł";"";
023016100000;"PODREGION POZNAŃSKI";"ogółem";"ogółem";"2020";4473;"zł";"";
023016100000;"PODREGION POZNAŃSKI";"ogółem";"ogółem";"2021";4925;"zł";"";
023016200000;"PODREGION MIASTO POZNAŃ";"ogółem";"ogółem";"2010";5727;"zł";"";
023016200000;"PODREGION MIASTO POZNAŃ";"ogółem";"ogółem";"2011";5762;"zł";"";
023016200000;"PODREGION MIASTO POZNAŃ";"ogółem";"ogółem";"2012";5402;"zł";"";
023016200000;"PODREGION MIASTO POZNAŃ";"ogółem";"ogółem";"2013";5429;"zł";"";
023016200000;"PODREGION MIASTO POZNAŃ";"ogółem";"ogółem";"2014";5558;"zł";"";
023016200000;"PODREGION MIASTO POZNAŃ";"ogółem";"ogółem";"2015";5554;"zł";"";
023016200000;"PODREGION MIASTO POZNAŃ";"ogółem";"ogółem";"2016";5591;"zł";"";
023016200000;"PODREGION MIASTO POZNAŃ";"ogółem";"ogółem";"2017";5812;"zł";"";
023016200000;"PODREGION MIASTO POZNAŃ";"ogółem";"ogółem";"2018";6147;"zł";"";
023016200000;"PODREGION MIASTO POZNAŃ";"ogółem";"ogółem";"2019";6397;"zł";"";
023016200000;"PODREGION MIASTO POZNAŃ";"ogółem";"ogółem";"2020";6832;"zł";"";
023016200000;"PODREGION MIASTO POZNAŃ";"ogółem";"ogółem";"2021";7663;"zł";"";
023216300000;"PODREGION KOSZALIŃSKI";"ogółem";"ogółem";"2010";4052;"zł";"";
023216300000;"PODREGION KOSZALIŃSKI";"ogółem";"ogółem";"2011";3854;"zł";"";
023216300000;"PODREGION KOSZALIŃSKI";"ogółem";"ogółem";"2012";3767;"zł";"";
023216300000;"PODREGION KOSZALIŃSKI";"ogółem";"ogółem";"2013";3925;"zł";"";
023216300000;"PODREGION KOSZALIŃSKI";"ogółem";"ogółem";"2014";3765;"zł";"";
023216300000;"PODREGION KOSZALIŃSKI";"ogółem";"ogółem";"2015";3488;"zł";"";
023216300000;"PODREGION KOSZALIŃSKI";"ogółem";"ogółem";"2016";3829;"zł";"";
023216300000;"PODREGION KOSZALIŃSKI";"ogółem";"ogółem";"2017";3778;"zł";"";
023216300000;"PODREGION KOSZALIŃSKI";"ogółem";"ogółem";"2018";5168;"zł";"";
023216300000;"PODREGION KOSZALIŃSKI";"ogółem";"ogółem";"2019";5005;"zł";"";
023216300000;"PODREGION KOSZALIŃSKI";"ogółem";"ogółem";"2020";5799;"zł";"";
023216300000;"PODREGION KOSZALIŃSKI";"ogółem";"ogółem";"2021";6759;"zł";"";
023216400000;"PODREGION SZCZECINECKO-PYRZYCKI";"ogółem";"ogółem";"2010";2233;"zł";"";
023216400000;"PODREGION SZCZECINECKO-PYRZYCKI";"ogółem";"ogółem";"2011";2233;"zł";"";
023216400000;"PODREGION SZCZECINECKO-PYRZYCKI";"ogółem";"ogółem";"2012";2257;"zł";"";
023216400000;"PODREGION SZCZECINECKO-PYRZYCKI";"ogółem";"ogółem";"2013";2018;"zł";"";
023216400000;"PODREGION SZCZECINECKO-PYRZYCKI";"ogółem";"ogółem";"2014";2101;"zł";"";
023216400000;"PODREGION SZCZECINECKO-PYRZYCKI";"ogółem";"ogółem";"2015";2163;"zł";"";
023216400000;"PODREGION SZCZECINECKO-PYRZYCKI";"ogółem";"ogółem";"2016";2132;"zł";"";
023216400000;"PODREGION SZCZECINECKO-PYRZYCKI";"ogółem";"ogółem";"2017";2199;"zł";"";
023216400000;"PODREGION SZCZECINECKO-PYRZYCKI";"ogółem";"ogółem";"2018";2382;"zł";"";
023216400000;"PODREGION SZCZECINECKO-PYRZYCKI";"ogółem";"ogółem";"2019";2586;"zł";"";
023216400000;"PODREGION SZCZECINECKO-PYRZYCKI";"ogółem";"ogółem";"2020";2988;"zł";"";
