"Kod";"Nazwa";"Wiek";"Płeć";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
011212000000;"PODREGION KRAKOWSKI";"35-39";"mężczyźni";"2013";28416;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"35-39";"mężczyźni";"2014";28902;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"35-39";"mężczyźni";"2015";29585;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"35-39";"mężczyźni";"2016";29832;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"35-39";"mężczyźni";"2017";30288;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"35-39";"mężczyźni";"2018";30963;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"35-39";"mężczyźni";"2019";31397;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"35-39";"mężczyźni";"2020";32731;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"35-39";"mężczyźni";"2021";32735;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"40-44";"mężczyźni";"1995";24271;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"40-44";"mężczyźni";"1996";24770;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"40-44";"mężczyźni";"1997";25407;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"40-44";"mężczyźni";"1998";25751;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"40-44";"mężczyźni";"1999";25545;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"40-44";"mężczyźni";"2000";25206;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"40-44";"mężczyźni";"2001";24799;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"40-44";"mężczyźni";"2002";24120;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"40-44";"mężczyźni";"2003";23285;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"40-44";"mężczyźni";"2004";22666;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"40-44";"mężczyźni";"2005";22204;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"40-44";"mężczyźni";"2006";21853;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"40-44";"mężczyźni";"2007";21689;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"40-44";"mężczyźni";"2008";21780;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"40-44";"mężczyźni";"2009";21830;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"40-44";"mężczyźni";"2010";22680;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"40-44";"mężczyźni";"2011";23178;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"40-44";"mężczyźni";"2012";23780;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"40-44";"mężczyźni";"2013";24505;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"40-44";"mężczyźni";"2014";25441;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"40-44";"mężczyźni";"2015";26297;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"40-44";"mężczyźni";"2016";27335;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"40-44";"mężczyźni";"2017";28226;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"40-44";"mężczyźni";"2018";28952;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"40-44";"mężczyźni";"2019";29575;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"40-44";"mężczyźni";"2020";32000;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"40-44";"mężczyźni";"2021";32280;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"45-49";"mężczyźni";"1995";19474;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"45-49";"mężczyźni";"1996";20701;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"45-49";"mężczyźni";"1997";21622;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"45-49";"mężczyźni";"1998";22377;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"45-49";"mężczyźni";"1999";23013;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"45-49";"mężczyźni";"2000";23899;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"45-49";"mężczyźni";"2001";24294;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"45-49";"mężczyźni";"2002";24787;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"45-49";"mężczyźni";"2003";25207;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"45-49";"mężczyźni";"2004";25358;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"45-49";"mężczyźni";"2005";25098;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"45-49";"mężczyźni";"2006";24743;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"45-49";"mężczyźni";"2007";24090;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"45-49";"mężczyźni";"2008";23217;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"45-49";"mężczyźni";"2009";22538;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"45-49";"mężczyźni";"2010";22541;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"45-49";"mężczyźni";"2011";22285;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"45-49";"mężczyźni";"2012";22142;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"45-49";"mężczyźni";"2013";22333;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"45-49";"mężczyźni";"2014";22415;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"45-49";"mężczyźni";"2015";22714;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"45-49";"mężczyźni";"2016";23203;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"45-49";"mężczyźni";"2017";23797;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"45-49";"mężczyźni";"2018";24536;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"45-49";"mężczyźni";"2019";25538;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"45-49";"mężczyźni";"2020";27453;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"45-49";"mężczyźni";"2021";28750;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"mężczyźni";"1995";350404;"osoba";"";
