"Kod";"Nazwa";"Wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
012415000000;"PODREGION SOSNOWIECKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2017";98;"-";"";
012415000000;"PODREGION SOSNOWIECKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2018";125;"-";"";
012415000000;"PODREGION SOSNOWIECKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2019";151;"-";"";
012415000000;"PODREGION SOSNOWIECKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2020";192;"-";"";
012415000000;"PODREGION SOSNOWIECKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2021";242;"-";"";
012415100000;"PODREGION TYSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2012";;"-";"";
012415100000;"PODREGION TYSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2013";;"-";"";
012415100000;"PODREGION TYSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2014";73;"-";"";
012415100000;"PODREGION TYSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2015";85;"-";"";
012415100000;"PODREGION TYSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2016";103;"-";"";
012415100000;"PODREGION TYSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2017";121;"-";"";
012415100000;"PODREGION TYSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2018";153;"-";"";
012415100000;"PODREGION TYSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2019";166;"-";"";
012415100000;"PODREGION TYSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2020";171;"-";"";
012415100000;"PODREGION TYSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2021";197;"-";"";
020811300000;"PODREGION GORZOWSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2012";;"-";"";
020811300000;"PODREGION GORZOWSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2013";;"-";"";
020811300000;"PODREGION GORZOWSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2014";70;"-";"";
020811300000;"PODREGION GORZOWSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2015";64;"-";"";
020811300000;"PODREGION GORZOWSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2016";83;"-";"";
020811300000;"PODREGION GORZOWSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2017";99;"-";"";
020811300000;"PODREGION GORZOWSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2018";117;"-";"";
020811300000;"PODREGION GORZOWSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2019";136;"-";"";
020811300000;"PODREGION GORZOWSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2020";160;"-";"";
020811300000;"PODREGION GORZOWSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2021";210;"-";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2012";;"-";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2013";;"-";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2014";96;"-";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2015";102;"-";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2016";109;"-";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2017";118;"-";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2018";157;"-";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2019";164;"-";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2020";186;"-";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2021";215;"-";"";
023015700000;"PODREGION KALISKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2012";;"-";"";
023015700000;"PODREGION KALISKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2013";;"-";"";
023015700000;"PODREGION KALISKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2014";46;"-";"";
023015700000;"PODREGION KALISKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2015";49;"-";"";
023015700000;"PODREGION KALISKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2016";66;"-";"";
023015700000;"PODREGION KALISKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2017";77;"-";"";
023015700000;"PODREGION KALISKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2018";99;"-";"";
023015700000;"PODREGION KALISKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2019";112;"-";"";
023015700000;"PODREGION KALISKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2020";124;"-";"";
023015700000;"PODREGION KALISKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2021";135;"-";"";
023015800000;"PODREGION KONIŃSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2012";;"-";"";
023015800000;"PODREGION KONIŃSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2013";;"-";"";
023015800000;"PODREGION KONIŃSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2014";26;"-";"";
023015800000;"PODREGION KONIŃSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2015";30;"-";"";
023015800000;"PODREGION KONIŃSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2016";40;"-";"";
